ID,YEAR,DEPARTMENT_DESCR,COLLEGE_DESCR,FTPT,FirstTerm_CreditHours,FirstTerm_GPA,OneYear retention,TwoYear retention
4442204,2018,,The University of Akron,FT,13,3.662,1,
4745409,2021,Accountancy,College of Business,FT,16,4,,
3945366,2021,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.6,,
9742534,2018,Dept of Marketing,College of Business,FT,5,0.6,,
9442353,2018,Coll of App Sci & Tech Dean,College of Applied Sci & Tech,FT,5,3.28,1,
3744947,2019,Health & Human Sciences Dean,College of Health & Human Sci,FT,14,3.721,,
5142124,2018,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,13,3.908,1,1
7641672,2017,Schl of Dance Theatre Arts Adm,College of Arts & Sciences,FT,18,3.706,1,1
8743133,2019,School of Nursing,College of Health & Human Sci,FT,15,3.46,1,1
5139155,2018,Dept of English,College of Arts & Sciences,FT,14,3.136,1,1
0342208,2018,Department of Biology,College of Arts & Sciences,FT,14,3.336,1,1
8741114,2018,Dept of Computer Science,College of Engr & Polymer Sci,FT,14,4,1,1
5442000,2019,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,19,4,1,1
7848487,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,3.86,1,1
0641335,2017,School of Communication,College of Arts & Sciences,FT,17,3.3,1,1
9140530,2018,Business Dean,College of Business,FT,16,3.681,1,1
8749604,2017,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,15,2.48,1,1
1448687,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,18,3.9,1,1
6948964,2016,School of Music,College of Arts & Sciences,FT,1,4,,
2049009,2016,Department of Biology,College of Arts & Sciences,FT,14,3.85,1,1
6147801,2017,Business Dean,College of Business,FT,11,0.982,,
1745268,2021,Department of Biology,College of Arts & Sciences,FT,8,0,,
5948934,2019,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,13,4,1,1
4649471,2017,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,16,3.5,1,
4340124,2017,School of Nursing,College of Health & Human Sci,FT,9,3.533,1,1
6244894,2018,School of Nursing,College of Health & Human Sci,FT,2,3.3,1,1
8749296,2016,School of Allied Health,College of Health & Human Sci,FT,10,2.51,,
5637758,2017,Early College High School,The University of Akron,FT,5,2.98,1,1
4345144,2020,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,9,2.878,1,
4049296,2017,Myers School of Art,College of Arts & Sciences,FT,17,3.129,1,1
4749557,2017,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,6,2.85,1,
3027089,2017,Arts & Sciences Dean,College of Arts & Sciences,FT,10,2.63,,
5641713,2017,Early College High School,The University of Akron,FT,2,2,1,
0147908,2017,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,15,1.147,,
3741922,2017,School of Communication,College of Arts & Sciences,FT,14,2.136,,
8945369,2021,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,9,2.667,,
9249433,2017,Department of Biology,College of Arts & Sciences,FT,19,4,1,
6539059,2016,Department of Sociology,College of Arts & Sciences,FT,14,3.386,1,
0949299,2016,Early College High School,The University of Akron,FT,6,0,,
9849041,2016,,The University of Akron,FT,14,2.764,1,1
5643197,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,14,2.707,1,1
3345144,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,4,2,,
5044882,2021,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,14,2.164,,
5245378,2021,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,13,2.938,,
8044308,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,2,3,1,
2729740,2021,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13,1.977,,
2540813,2017,School of Allied Health,College of Health & Human Sci,FT,14,1.286,1,1
8545118,2021,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,16,3.388,,
7345346,2021,Accountancy,College of Business,FT,16,3.513,,
0648960,2016,Early College High School,The University of Akron,FT,5,0,,
7227244,2016,,The University of Akron,FT,2,4,1,1
4344128,2019,School of Nursing,College of Health & Human Sci,FT,4,4,1,1
2245116,2020,Anthropology,College of Arts & Sciences,FT,15,2.947,1,
5742918,2019,School of Music,College of Arts & Sciences,FT,16,3.944,1,1
9645240,2021,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13,3.3,,
6945013,2019,Dept of Marketing,College of Business,FT,7,3.014,1,
2448948,2019,Wayne Instructional,College of Applied Sci & Tech,FT,12,2.708,1,
4442347,2018,Business Dean,College of Business,FT,12,3.225,1,
3142209,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,14,2.907,1,1
3945031,2019,Wayne Instructional,College of Applied Sci & Tech,FT,12,0,,
2444876,2018,Engineering & Science Tech,College of Engr & Polymer Sci,FT,6,0,,
3544877,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,1,2.7,1,
9644006,2019,Wayne Instructional,College of Applied Sci & Tech,FT,7,2.271,,
2727245,2016,School of Nursing,College of Health & Human Sci,FT,12,3.558,1,1
1849477,2017,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,4,1,1
0449303,2016,Social Work,College of Health & Human Sci,FT,9,3.222,1,1
8445042,2020,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,7,0,,
3641883,2017,School of Nursing,College of Health & Human Sci,FT,0,0,,
6141914,2018,Early College High School,The University of Akron,FT,5,0,,
2347888,2018,Dept of Marketing,College of Business,FT,5,2.28,,
8448523,2017,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,0,0,,
1345493,2021,LBJFF School of Education,College of Arts & Sciences,FT,9,0,,
1645104,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,0,0,,
1845169,2020,Department of Biology,College of Arts & Sciences,FT,3,3,1,
2644441,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,2.269,1,1
7644870,2020,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,3.794,1,
7841995,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,2.579,1,1
4940134,2018,,The University of Akron,FT,17,4,1,1
1642304,2018,Dept of Chemistry,College of Arts & Sciences,FT,16,3.119,1,1
7848249,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,9,3.133,1,1
0743043,2019,Dept of Computer Science,College of Engr & Polymer Sci,FT,14,3.836,1,1
3844028,2018,Dept of Psychology,College of Arts & Sciences,FT,15,3.413,1,
3848969,2016,Dept of Computer Science,College of Engr & Polymer Sci,FT,10,0,,
4549601,2016,LBJFF School of Education,College of Arts & Sciences,FT,9,1.911,,
5539194,2016,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,12,0.783,,
6641125,2016,Dept of Chemistry,College of Arts & Sciences,PT,0,0,1,
9323415,2016,School of Communication,College of Arts & Sciences,FT,0,0,,
4848739,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,13,0.392,,
2045019,2021,Social Work,College of Health & Human Sci,FT,15,2.86,,
7449006,2016,Dept of Political Science,College of Arts & Sciences,FT,16.5,3.503,1,1
9448014,2016,Dept of English,College of Arts & Sciences,FT,16,3.55,,
5648250,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13.5,2.911,1,1
0549582,2017,LBJFF School of Education,College of Arts & Sciences,FT,10,3.6,1,1
4445278,2021,Business Dean,College of Business,FT,10,3.19,,
3745248,2021,Dept of Marketing,College of Business,FT,5,0,,
6738101,2016,School of Nursing,College of Health & Human Sci,FT,16,3.169,1,1
7144672,2020,Business Dean,College of Business,FT,14,2.85,1,
2344962,2019,School of Communication,College of Arts & Sciences,FT,3,2,1,1
3948971,2016,Social Work,College of Health & Human Sci,PT,2,2,1,1
4941709,2017,School of Music,College of Arts & Sciences,FT,16,3.2,1,1
3943102,2019,Dept of Computer Science,College of Engr & Polymer Sci,FT,17,4,1,1
4742530,2018,Dept of Marketing,College of Business,FT,12,3.5,1,1
9944865,2019,Engineering & Science Tech,College of Engr & Polymer Sci,FT,10,2.66,1,1
2541923,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13,2.908,1,1
3049612,2017,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,16,0.938,,
0144843,2019,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,10,3.22,,
6944945,2019,Dept of Psychology,College of Arts & Sciences,FT,8,1.7,,
4642940,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,12,3.467,1,
2042002,2017,School of Nursing,College of Health & Human Sci,FT,7,2.3,1,
6244839,2019,Department of Biology,College of Arts & Sciences,FT,3,1,,
4341237,2017,Dept of Psychology,College of Arts & Sciences,FT,14,0,,
4847768,2016,Dept of Marketing,College of Business,FT,16,3.363,1,1
3447844,2018,Dept of Computer Science,College of Engr & Polymer Sci,FT,9,3.667,1,
7949729,2018,,The University of Akron,FT,13,2.054,,
2042607,2019,School of Nursing,College of Health & Human Sci,FT,14,2.614,1,1
6542213,2018,Department of Biology,College of Arts & Sciences,FT,11,1.945,1,1
1543213,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,9,3.333,1,1
5442205,2019,School of Nursing,College of Health & Human Sci,FT,14,3.979,1,
9041151,2018,Department of Biology,College of Arts & Sciences,FT,0,0,,1
3327257,2016,Early College High School,The University of Akron,FT,8,2.288,1,
8942901,2019,,The University of Akron,FT,16,2.994,1,1
8542916,2019,Department of Biology,College of Arts & Sciences,FT,22,4,1,1
2145429,2021,Arts & Sciences Dean,College of Arts & Sciences,FT,10,3.34,,
0845243,2021,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,14,3.607,,
0845131,2020,Dept of Chemistry,College of Arts & Sciences,FT,15,2.753,1,
2448960,2019,School of Communication,College of Arts & Sciences,PT,6,3.5,1,
7145002,2019,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,6,2,,
6143146,2019,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,5,2.02,,
3445427,2021,School of Nursing,College of Health & Human Sci,FT,3,0,,
7627235,2021,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,13,3.531,,
7249295,2016,School of Nursing,College of Health & Human Sci,FT,5,3.28,1,
4541180,2017,Department of Biology,College of Arts & Sciences,FT,14,1.257,,
0645015,2019,Arts & Sciences Dean,College of Arts & Sciences,FT,13,3.069,1,1
0644010,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,16,3.638,1,
9945131,2020,Dept of Psychology,College of Arts & Sciences,FT,6,1.967,,
1944581,2020,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,10,1.08,,
6145335,2021,School of Allied Health,College of Health & Human Sci,FT,9,0.9,,
6644225,2018,Accountancy,College of Business,FT,11,2.864,1,1
4345197,2020,Department of Biology,College of Arts & Sciences,FT,6,2.35,1,
7944950,2019,Business Dean,College of Business,FT,10,3.28,1,1
4644969,2019,Department of Biology,College of Arts & Sciences,FT,15,3.653,1,1
7744551,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,7,3.157,1,
3644189,2020,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,13,3.462,1,
5847633,2019,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,9,2.333,1,1
7343730,2018,LBJFF School of Education,College of Arts & Sciences,FT,16,3.944,1,1
9738962,2016,Early College High School,The University of Akron,FT,12,2.408,,1
0542598,2019,Dept of Chemistry,College of Arts & Sciences,FT,16,2.244,1,
8345147,2020,Dept of Psychology,College of Arts & Sciences,FT,0,0,1,
5740043,2017,Dept of Computer Science,College of Engr & Polymer Sci,FT,15,4,1,1
8144945,2019,School of Nursing,College of Health & Human Sci,FT,7,0,,
0542496,2018,Business Dean,College of Business,FT,16,2.763,,
1239011,2016,Dept of Management,College of Business,FT,13,2.777,1,1
2649425,2017,School of Nursing,College of Health & Human Sci,FT,17,2.765,1,
0848246,2016,School of Nursing,College of Health & Human Sci,FT,14,3.279,,
3245349,2021,School of Nursing,College of Health & Human Sci,FT,2,0,,
8344945,2019,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,5,3.82,1,1
3145283,2021,,The University of Akron,FT,16,3.313,,
4545092,2019,Engineering & Science Tech,College of Engr & Polymer Sci,PT,3,3,1,1
4748639,2019,Department of Biology,College of Arts & Sciences,FT,13,2.608,1,1
4945209,2020,Myers School of Art,College of Arts & Sciences,FT,12,3.825,1,
9748948,2016,Early College High School,The University of Akron,FT,4,2.85,1,1
4045007,2019,School of Nursing,College of Health & Human Sci,FT,14,2.871,1,1
2143199,2018,Schl of Dance Theatre Arts Adm,College of Arts & Sciences,FT,9,2.633,1,1
0242983,2019,Department of Biology,College of Arts & Sciences,FT,18,3.444,1,1
6845222,2021,LBJFF School of Education,College of Arts & Sciences,FT,18,4,,
8242340,2019,LBJFF School of Education,College of Arts & Sciences,FT,13,3.092,1,1
5344013,2018,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.114,1,1
8344285,2020,,The University of Akron,FT,9,3.233,1,
5743213,2019,Arts & Sciences Dean,College of Arts & Sciences,FT,14,3.607,1,1
6442204,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,10,2.91,1,1
8245011,2021,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,15,3.453,,
9145030,2020,Business Dean,College of Business,FT,10,2.89,1,
5744902,2019,Dept of Computer Science,College of Engr & Polymer Sci,FT,17,3.471,,
4226607,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,12,3.925,1,
6942000,2017,Dept of Political Science,College of Arts & Sciences,FT,12,3.075,1,
0741361,2017,Dept of Marketing,College of Business,FT,11,2.355,,
4343931,2018,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,3,3,,
5137751,2017,School of Communication,College of Arts & Sciences,PT,6,0.85,,
1341084,2018,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,9,2.4,,1
5641019,2017,School of Nursing,College of Health & Human Sci,FT,9,1.333,,
3049011,2016,Early College High School,The University of Akron,FT,6,3,1,
5349022,2016,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,14,2.893,1,
5549032,2016,Early College High School,The University of Akron,FT,1,4,,
1249318,2016,Accountancy,College of Business,FT,8,2.138,,
7745267,2021,Department of Biology,College of Arts & Sciences,FT,15,0.807,,
9545292,2020,Arts & Sciences Dean,College of Arts & Sciences,FT,14,0,,
6942204,2019,Dept of Finance,College of Business,FT,17,3.482,1,1
3849423,2017,LBJFF School of Education,College of Arts & Sciences,FT,15,4,1,1
5845105,2020,Department of Biology,College of Arts & Sciences,FT,7,3.829,1,
2744378,2020,Business Dean,College of Business,FT,14,2.857,1,
5545062,2020,School of Music,College of Arts & Sciences,FT,19,3.711,1,
5542343,2018,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,12,4,1,1
5045211,2020,School of Music,College of Arts & Sciences,FT,0,0,,
7444371,2019,School of Nursing,College of Health & Human Sci,FT,10,2.33,1,1
6245007,2020,School of Nursing,College of Health & Human Sci,FT,13,3.885,1,
1749536,2017,School of Nursing,College of Health & Human Sci,FT,12,3.65,1,1
8742381,2018,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,16,3.475,1,
3848460,2017,Early College High School,The University of Akron,PT,2,0,,
3642203,2017,Early College High School,The University of Akron,FT,2,0,1,
6249532,2017,School of Nursing,College of Health & Human Sci,FT,15,1.273,,
6345129,2020,Dept of Finance,College of Business,FT,7,3.443,1,
1945143,2020,School of Allied Health,College of Health & Human Sci,FT,2,2.3,,
6544062,2018,Department of Biology,College of Arts & Sciences,PT,11,0.8,,
5244988,2019,,The University of Akron,FT,12,2.358,1,1
7547897,2017,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,12,0.058,,
9245285,2021,Dept of Political Science,College of Arts & Sciences,FT,13,3.3,,
9449500,2017,Early College High School,The University of Akron,FT,5,3.82,1,1
0548611,2017,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,3.7,1,1
6244031,2019,Dept of Mathematics,College of Arts & Sciences,FT,10,3.79,1,1
3027237,2018,School of Nursing,College of Health & Human Sci,FT,7,3.271,1,1
1543151,2018,School of Music,College of Arts & Sciences,FT,22,3.341,1,1
7444968,2020,School of Nursing,College of Health & Human Sci,FT,18,3.472,1,
4344602,2020,Social Work,College of Health & Human Sci,FT,15,3.94,1,
0344305,2020,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,15,3.087,1,
3942736,2018,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,11,2.545,1,1
5642363,2018,,The University of Akron,FT,9,3.589,1,1
9145028,2020,,The University of Akron,FT,9,1.9,,
2239143,2016,School of Nursing,College of Health & Human Sci,FT,15,3.6,1,1
8038799,2016,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,3.813,1,
4049032,2016,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,16,0,,
0247794,2016,Dept of Geosciences,College of Arts & Sciences,FT,12,2.258,,
6244957,2019,Department of Biology,College of Arts & Sciences,FT,16,0.75,,
4945485,2021,Dept of Computer Science,College of Engr & Polymer Sci,FT,6,0,,
3447800,2017,Dept of Mathematics,College of Arts & Sciences,FT,19,3.953,1,1
0944931,2019,,The University of Akron,FT,14,3.271,1,1
0244452,2019,LBJFF School of Education,College of Arts & Sciences,FT,15,2.347,1,1
3445108,2021,Department of Biology,College of Arts & Sciences,FT,7,0,,
8145289,2020,Speech-Lang Path & Audiology,College of Health & Human Sci,FT,5,2.98,1,
6045198,2021,Dept of Computer Science,College of Engr & Polymer Sci,FT,15,0,,
2643176,2018,Engineering & Science Tech,College of Engr & Polymer Sci,PT,9,3.7,1,1
7549680,2018,Anthropology,College of Arts & Sciences,FT,18,4,1,1
6549611,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,10,2.58,1,1
2944045,2019,Dept of Finance,College of Business,FT,13,3.738,1,1
9148975,2016,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,11,2.982,1,1
8641691,2017,Dept of Marketing,College of Business,FT,11,2.882,1,1
6445055,2020,Dept of Computer Science,College of Engr & Polymer Sci,FT,15,3.94,1,
7849485,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,4,1,1
6248322,2016,"Chem, Biomol & Corr Engin",College of Engr & Polymer Sci,FT,14,3.314,1,1
0740470,2017,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,13,3.192,1,1
3749622,2017,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,10,2.69,1,1
2649679,2018,,The University of Akron,FT,15,3.613,1,1
9545033,2020,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,17,3.094,1,
9327238,2016,Electrical & Computer Engr,College of Engr & Polymer Sci,FT,15,3.773,1,1
6649568,2017,Department of Biology,College of Arts & Sciences,FT,9,3.233,1,1
2749297,2017,LBJFF School of Education,College of Arts & Sciences,FT,5,2.48,,
7848935,2017,Social Work,College of Health & Human Sci,FT,15,3.4,1,1
3440006,2017,School of Music,College of Arts & Sciences,FT,14,3.243,,
0544631,2020,Social Work,College of Health & Human Sci,FT,15,3.86,,
8941995,2018,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,14,3.636,,
1147869,2017,Business Dean,College of Business,FT,17,4,,
4944917,2019,School of Nursing,College of Health & Human Sci,FT,10,2.84,1,
4839278,2016,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,15,4,1,1
8645027,2020,School of Nursing,College of Health & Human Sci,FT,11,2.309,,
6145381,2021,Dept of Management,College of Business,FT,10,0.83,,
2643170,2018,LBJFF School of Education,College of Arts & Sciences,FT,12,2.75,,
2842205,2018,School of Nursing,College of Health & Human Sci,FT,14,3.679,,
2640805,2021,Department of Biology,College of Arts & Sciences,FT,14,1.507,,
1544892,2021,Social Work,College of Health & Human Sci,FT,11,2.809,,
9737593,2016,Arts & Sciences Dean,College of Arts & Sciences,FT,12,0,,
7741695,2017,LBJFF School of Education,College of Arts & Sciences,FT,4,0,,
0548150,2016,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,16,4,1,1
4941157,2016,Dept of Criminal Justice Stu,College of Arts & Sciences,PT,4,3,1,1
2848963,2016,Engineering & Polymer Sci Dean,College of Engr & Polymer Sci,FT,15,1.527,,
3049487,2017,Early College High School,The University of Akron,FT,15,0.68,,
9549199,2017,Early College High School,The University of Akron,FT,4,1.5,,
6239059,2016,Department of Sociology,College of Arts & Sciences,FT,15,3.74,,
2645029,2020,Engineering & Science Tech,College of Engr & Polymer Sci,FT,14,2.271,,
5041121,2016,Arts & Sciences Dean,College of Arts & Sciences,FT,0,0,,
0143931,2020,School of Nursing,College of Health & Human Sci,FT,16,3.606,1,
4044846,2019,Business Dean,College of Business,FT,16,3.438,1,1
0849554,2018,Schl of Dance Theatre Arts Adm,College of Arts & Sciences,PT,6,0,,
8239009,2016,Child & Family Development,College of Health & Human Sci,FT,2,0,,
3541137,2016,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,11,2.664,1,1
5627218,2016,LBJFF School of Education,College of Arts & Sciences,FT,17,4,1,1
7944883,2019,School of Nursing,College of Health & Human Sci,FT,0,0,,
0840411,2018,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,14,1.064,,
2343657,2018,School of Exercise & Nutr Sci,College of Health & Human Sci,FT,14,3.85,1,1
4444867,2019,Myers School of Art,College of Arts & Sciences,FT,13,1.723,,
3347690,2017,Early College High School,The University of Akron,FT,2,4,1,
2927258,2016,Myers School of Art,College of Arts & Sciences,FT,15,0.6,,
1642678,2019,School of Nursing,College of Health & Human Sci,FT,14,1.771,,
5041118,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,2.521,1,
9147645,2016,Department of Biology,College of Arts & Sciences,FT,13.5,3.363,1,1
1325363,2016,Early College High School,The University of Akron,FT,12,1.667,1,
1848934,2016,Early College High School,The University of Akron,FT,13,0.308,,
3049108,2016,Accountancy,College of Business,FT,12,4,1,1
8944968,2021,Dept of Finance,College of Business,FT,13,2.385,,
6644380,2021,Dept of Finance,College of Business,FT,13,2.685,,
0249403,2016,LBJFF School of Education,College of Arts & Sciences,FT,11,2.755,1,1
4147806,2017,Disaster Sci & Emergency Serv,College of Health & Human Sci,FT,14,4,1,1
0841910,2017,School of Allied Health,College of Health & Human Sci,FT,12,3.925,1,
6149309,2016,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,14,3.264,,
1427243,2020,Dept of Psychology,College of Arts & Sciences,PT,0,0,,
0548642,2017,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,14,3.214,1,1
7244863,2019,Dept of Mechanical Engineering,College of Engr & Polymer Sci,FT,15,2.347,1,1
2745482,2021,Dept of Criminal Justice Stu,College of Arts & Sciences,FT,13,0.392,,
4640435,2017,School of Allied Health,College of Health & Human Sci,FT,12,3.067,1,
3941890,2017,Dept of Economics,College of Business,FT,16,2.888,,
0847686,2020,Electrical & Computer Engr,College of Engr & Polymer Sci,PT,5,0.92,,
2341127,2020,LBJFF School of Education,College of Arts & Sciences,FT,3,3.7,1,
6923538,2020,Dept of Civil Engineering,College of Engr & Polymer Sci,FT,12,4,1,
9727239,2016,School of Nursing,College of Health & Human Sci,FT,13,3.1,1,1
3941891,2017,Early College High School,The University of Akron,FT,13,1.315,,
2943144,2018,Myers School of Art,College of Arts & Sciences,FT,15,0,,
2043157,2018,Business Dean,College of Business,FT,12,3.617,,
4744440,2019,Dept of Biomedical Engineering,College of Engr & Polymer Sci,FT,7,1.286,1,
8948444,2017,Early College High School,The University of Akron,FT,9,2.333,1,1
